,RGC_SO,RGC_S12,RGC_S34,RGC_S56,RGC_SGC,RGC_SAC,E_SO,E_SO_S56,E_SO_S56_SGC,E_S12,E_S12_S34_S56,E_S12_S34_S56_SGC,E_S12_S56,E_S12_S56_SGC,E_S12_SGC,E_S34,E_S34_S56,E_S34_S56_SGC,E_S34_SGC,E_S34_SGC_SAC,E_S56,E_S56_SGC,E_S56_SGC_SAC,E_SGC,E_SAC,E_ns,I_SO,I_SO_S12,I_SO_S12_S56,I_SO_S34_S56,I_SO_S56,I_SO_S56_SGC,I_S12,I_S12_S34_S56_SGC,I_S12_S34_SGC,I_S12_S56,I_S12_S56_SGC,I_S12_S56_SGC_SAC,I_S12_SGC,I_S34,I_S34_S56,I_S34_S56_SGC,I_S34_SGC,I_S34_SGC_SAC,I_S56,I_S56_SGC,I_S56_SGC_SAC,I_S56_SAC,I_SGC,I_SGC_SAC,I_ns,I_SIN,TPN_E,TPN_O
I_SO_S12_S56,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0.009803922,0.083333333,0.013333333,0.010416667,0.037037037,0.111111111,0,0,0.001149425,0,0.145769806,0.075268817
I_SO_S34_S56,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862069,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.092780269,0.080645161
I_SO_S56,0,0,0,0,0,0,0,0,0,0,0,0,0.005789474,0.014285714,0.006666667,0,0.005714286,0.005,0.005333333,0.028571429,0,0,0,0.005,0,0.008627451,0.004,0.06,0.04,0,0.0064,0.017777778,0.002285714,0,0,0.00862069,0.001176471,0,0.022222222,0,0.001666667,0.007826087,0,0.06,0.0064,0.006666667,0.006666667,0,0,0,0.001931034,0.045,0.094529148,0.107741935
I_SO_S56_SGC,0,0,0,0,0,0,0,0,0,0,0,0,0.010233918,0.031746032,0.037037037,0,0.031746032,0,0.022222222,0,0,0.012820513,0,0.013888889,0,0.017429194,0.022222222,0.055555556,0.074074074,0,0.004444444,0.037037037,0.003174603,0,0,0.00862069,0.006535948,0,0,0,0.006944444,0.014492754,0,0.083333333,0.022222222,0.011574074,0.049382716,0.074074074,0,0,0.002681992,0.013888889,0.127055306,0.142329749
I_S12,0,0,0,0,0,0,0,0,0.003174603,0.007142857,0,0,0.00112782,0.002040816,0.004761905,0,0.004081633,0,0.005714286,0,0,0.002197802,0,0.021428571,0,0.00280112,0.002857143,0.035714286,0.00952381,0,0.003428571,0.006349206,0.006530612,0,0,0.005172414,0,0,0.025396825,0,0,0.007763975,0.000840336,0.057142857,0,0,0,0,0,0,0.0008867,0.030357143,0.058155029,0.108156682
I_S12_S34_S56_SGC,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0.083333333,0,0.071428571,0,0,0,0,0,0,0,0,0.009803922,0.05,0,0,0,0.02,0,0,0,0,0.012931034,0,0,0.055555556,0,0,0.027173913,0,0.125,0.02,0.020833333,0.055555556,0,0,0,0.003448276,0.0625,0.188340807,0.14516129
I_S12_S34_SGC,0,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0.047619048,0,0,0.095238095,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0.011494253,0.009803922,0,0,0,0,0.014492754,0,0,0,0.013888889,0.018518519,0,0,0,0.003448276,0.083333333,0.104633782,0.123655914
I_S12_S56,0,0,0,0,0,0,0,0,0.003831418,0,0,0,0.004423775,0.007389163,0.015804598,0,0.004926108,0.001077586,0.002873563,0.025862069,0,0.02132626,0.001724138,0.005387931,0,0.008282623,0,0,0.028735632,0,0.005517241,0.012452107,0.006403941,0,0,0,0.002028398,0.00862069,0.021072797,0.004310345,0.002155172,0.009464018,0.001267748,0.036637931,0.009310345,0.007183908,0.014846743,0.025862069,0.000615764,0,0.001783591,0.043103448,0.263525591,0.007897664
I_S12_S56_SGC,0,0,0,0,0,0,0,0,0.003267974,0,0,0,0.009674923,0.003781513,0.002941177,0,0.046218487,0,0.007843137,0.033613445,0,0.002262443,0.005882353,0.014705882,0,0.016724337,0.029411765,0.066176471,0.039215686,0,0.009411765,0.026143791,0.009243697,0,0,0,0.00432526,0.029411765,0.029411765,0.007352941,0.004289216,0.022378517,0.000865052,0.095588235,0.005882353,0.016544118,0.045751634,0.068627451,0.004201681,0,0.005172414,0.044117647,0.199264046,0.025958254
I_S12_S56_SGC_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0.1,0.25,0,0,0.04,0,0,0,0,0,0,0,0,0,0.020833333,0.065217391,0,0.25,0.04,0.010416667,0.055555556,0,0,0,0.006896552,0.125,0.260762332,0.061290323
I_S12_SGC,0,0,0,0,0,0,0,0,0.024691358,0,0,0,0.004385965,0.023809524,0.037037037,0,0,0,0.014814815,0,0,0,0,0,0,0.013071895,0.011111111,0,0.037037037,0,0,0.012345679,0,0,0,0,0,0,0,0,0.002314815,0.007246377,0,0.027777778,0.013333333,0.008101852,0.012345679,0,0,0.037037037,0.001915709,0.020833333,0.141111111,0.059605735
